Rank,Year,Movie,WorldwideBox Office,DomesticBox Office,InternationalBox Office
1,2009,Avatar,"$2,845,899,541","$760,507,625","$2,085,391,916"
2,2019,Avengers: Endgame,"$2,797,800,564","$858,373,000","$1,939,427,564"
3,1997,Titanic,"$2,207,986,545","$659,363,944","$1,548,622,601"
4,2015,Star Wars Ep. VII: The Force Awakens,"$2,064,615,817","$936,662,225","$1,127,953,592"
5,2018,Avengers: Infinity War,"$2,044,540,523","$678,815,482","$1,365,725,041"
6,2015,Jurassic World,"$1,669,979,967","$652,306,625","$1,017,673,342"
7,2019,The Lion King,"$1,654,367,425","$543,638,043","$1,110,729,382"
8,2015,Furious 7,"$1,516,881,526","$353,007,020","$1,163,874,506"
9,2012,The Avengers,"$1,515,100,211","$623,357,910","$891,742,301"
10,2019,Frozen II,"$1,446,925,396","$477,373,578","$969,551,818"
11,2015,Avengers: Age of Ultron,"$1,395,316,979","$459,005,868","$936,311,111"
12,2018,Black Panther,"$1,336,494,321","$700,059,566","$636,434,755"
13,2011,Harry Potter and the Deathly Hallows:…,"$1,334,392,544","$381,193,157","$953,199,387"
14,2017,Star Wars Ep. VIII: The Last Jedi,"$1,331,635,141","$620,181,382","$711,453,759"
15,2018,Jurassic World: Fallen Kingdom,"$1,308,334,005","$417,719,760","$890,614,245"
16,2013,Frozen,"$1,266,648,320","$400,953,009","$865,695,311"
17,2017,Beauty and the Beast,"$1,255,080,655","$504,014,165","$751,066,490"
18,2018,Incredibles 2,"$1,242,805,359","$608,581,744","$634,223,615"
19,2017,The Fate of the Furious,"$1,236,703,796","$225,764,765","$1,010,939,031"
20,2013,Iron Man 3,"$1,215,392,272","$408,992,272","$806,400,000"
21,2015,Minions,"$1,159,631,140","$336,045,770","$823,585,370"
22,2016,Captain America: Civil War,"$1,151,918,521","$408,084,349","$743,834,172"
23,2018,Aquaman,"$1,143,758,700","$335,061,807","$808,696,893"
24,2019,Spider-Man: Far From Home,"$1,131,113,066","$390,532,085","$740,580,981"
25,2019,Captain Marvel,"$1,129,727,388","$426,829,839","$702,897,549"
26,2011,Transformers: Dark of the Moon,"$1,123,794,079","$352,390,543","$771,403,536"
27,2003,The Lord of the Rings: The Return of …,"$1,120,214,046","$377,845,905","$742,368,141"
28,2012,Skyfall,"$1,110,526,981","$304,360,277","$806,166,704"
29,2014,Transformers: Age of Extinction,"$1,104,054,072","$245,439,076","$858,614,996"
30,2012,The Dark Knight Rises,"$1,082,228,107","$448,139,099","$634,089,008"
31,2019,Toy Story 4,"$1,073,080,329","$434,038,008","$639,042,321"
32,2019,Star Wars: The Rise of Skywalker,"$1,072,848,487","$515,202,542","$557,645,945"
33,2019,Joker,"$1,072,507,517","$335,451,311","$737,056,206"
34,2010,Toy Story 3,"$1,068,879,522","$415,004,880","$653,874,642"
35,2006,Pirates of the Caribbean: Dead Manâs …,"$1,066,179,725","$423,315,812","$642,863,913"
36,2016,Rogue One: A Star Wars Story,"$1,055,135,598","$532,177,324","$522,958,274"
37,2019,Aladdin,"$1,046,649,706","$355,559,216","$691,090,490"
38,2011,Pirates of the Caribbean: On Stranger…,"$1,045,713,802","$241,071,802","$804,642,000"
39,1993,Jurassic Park,"$1,045,573,035","$402,523,348","$643,049,687"
40,2017,Despicable Me 3,"$1,032,596,894","$264,624,300","$767,972,594"
41,1999,Star Wars Ep. I: The Phantom Menace,"$1,027,044,677","$474,544,677","$552,500,000"
42,2010,Alice in Wonderland,"$1,025,491,110","$334,191,110","$691,300,000"
43,2016,Finding Dory,"$1,025,006,125","$486,295,561","$538,710,564"
44,2012,The Hobbit: An Unexpected Journey,"$1,014,938,545","$303,003,568","$711,934,977"
45,2016,Zootopia,"$1,005,304,638","$341,268,248","$664,036,390"
46,2008,The Dark Knight,"$999,046,281","$533,720,947","$465,325,334"
47,1994,The Lion King,"$986,214,868","$421,785,283","$564,429,585"
48,2013,Despicable Me 2,"$975,216,835","$368,065,385","$607,151,450"
49,2001,Harry Potter and the Sorcererâs Stone,"$965,054,122","$317,871,467","$647,182,655"
50,2017,Jumanji: Welcome to the Jungle,"$961,613,199","$404,508,916","$557,104,283"
51,2007,Pirates of the Caribbean: At Worldâs …,"$960,996,492","$309,420,425","$651,576,067"
52,2013,The Hobbit: The Desolation of Smaug,"$959,358,436","$258,241,522","$701,116,914"
53,2010,Harry Potter and the Deathly Hallows:…,"$955,371,891","$296,131,568","$659,240,323"
54,2016,The Jungle Book,"$953,554,418","$364,001,123","$589,553,295"
55,2014,The Hobbit: The Battle of the Five Ar…,"$941,560,732","$255,119,788","$686,440,944"
56,2007,Harry Potter and the Order of the Pho…,"$940,743,940","$292,137,260","$648,606,680"
57,2003,Finding Nemo,"$936,094,852","$380,529,370","$555,565,482"
58,2004,Shrek 2,"$935,253,978","$441,226,247","$494,027,731"
59,2009,Harry Potter and the Half-Blood Prince,"$930,673,167","$302,089,278","$628,583,889"
